game_id,strong_elo,weak_elo,skill_gap,strong_role,weak_role,white_team_config,color,result,move_count,avg_complexity,termination
1,1600,1200,400,brain,hand,strong_brain,white,1.0,99,31.31313131313131,checkmate
2,1600,1200,400,brain,hand,strong_hand,black,0.0,107,35.10280373831776,checkmate
3,1600,1200,400,brain,hand,strong_brain,white,0.0,88,30.88636363636364,checkmate
4,1600,1200,400,hand,brain,strong_hand,white,1.0,161,23.341614906832294,checkmate
5,1600,1200,400,hand,brain,strong_brain,black,0.0,159,32.38364779874214,checkmate
6,1600,1200,400,hand,brain,strong_hand,white,1.0,145,25.186206896551724,checkmate
1,1800,1400,400,brain,hand,strong_brain,white,0.5,192,26.572916666666668,insufficient_material
2,1800,1400,400,brain,hand,strong_hand,black,0.0,121,30.21487603305785,checkmate
3,1800,1400,400,brain,hand,strong_brain,white,0.5,200,26.595,max_moves
4,1800,1400,400,hand,brain,strong_hand,white,0.0,136,32.6764705882353,checkmate
5,1800,1400,400,hand,brain,strong_brain,black,0.0,123,23.1869918699187,checkmate
6,1800,1400,400,hand,brain,strong_hand,white,0.0,126,28.873015873015877,checkmate
1,1800,1200,600,brain,hand,strong_brain,white,1.0,97,26.65979381443299,checkmate
2,1800,1200,600,brain,hand,strong_hand,black,0.5,200,20.365,max_moves
3,1800,1200,600,brain,hand,strong_brain,white,0.5,140,25.5,insufficient_material
4,1800,1200,600,hand,brain,strong_hand,white,1.0,147,23.020408163265305,checkmate
5,1800,1200,600,hand,brain,strong_brain,black,1.0,122,29.057377049180328,checkmate
6,1800,1200,600,hand,brain,strong_hand,white,0.0,96,29.947916666666668,checkmate
1,2000,1000,1000,brain,hand,strong_brain,white,0.5,200,27.815,max_moves
2,2000,1000,1000,brain,hand,strong_hand,black,1.0,142,29.97887323943662,checkmate
3,2000,1000,1000,brain,hand,strong_brain,white,0.5,169,24.633136094674555,insufficient_material
4,2000,1000,1000,hand,brain,strong_hand,white,0.0,106,32.613207547169814,checkmate
5,2000,1000,1000,hand,brain,strong_brain,black,1.0,76,32.11842105263158,checkmate
6,2000,1000,1000,hand,brain,strong_hand,white,0.5,184,22.51086956521739,insufficient_material
